Compound name (signal),cis (MS1 +TIC SIM ESI Frag=70V Gain=1.0),,,,
Sample Acq Order No,Sample Vial Number,Sample Name,Compound Name,RT [min],Area
55,D3F-E7,D3F-E7,trans,2.596,1667838.053
56,D3F-E8,D3F-E8,trans,2.602,1475278.684
57,D3F-E9,D3F-E9,trans,2.598,1159769.62
58,D3F-E10,D3F-E10,trans,2.6,1499498.125
59,D3F-E11,D3F-E11,trans,2.596,1813075.331
60,D3F-E12,D3F-E12,trans,2.597,1455119.301
61,D3F-F1,D3F-F1,trans,2.595,918500.1359
62,D3F-F2,D3F-F2,trans,2.597,172009.8957
63,D3F-F3,D3F-F3,trans,2.595,1425842.222
64,D3F-F4,D3F-F4,trans,2.598,1166024.263
65,D3F-F5,D3F-F5,trans,2.599,1506806.705
66,D3F-F6,D3F-F6,trans,2.598,1158399.012
67,D3F-F7,D3F-F7,trans,2.597,290914.0683
68,D3F-F8,D3F-F8,trans,2.597,1496470.47
69,D3F-F9,D3F-F9,trans,2.596,1498801.197
70,D3F-F10,D3F-F10,trans,2.598,1505107.585
71,D3F-F11,D3F-F11,trans,2.595,1582273.799
72,D3F-F12,D3F-F12,trans,2.596,1465440.81
73,D3F-G1,D3F-G1,trans,2.597,1159846.044
74,D3F-G2,D3F-G2,trans,2.595,1367152.835
75,D3F-G3,D3F-G3,trans,2.6,1488083.167
76,D3F-G4,D3F-G4,trans,2.601,1389579.761
77,D3F-G5,D3F-G5,trans,2.6,1240982.127
78,D3F-G6,D3F-G6,trans,2.599,91234.526
79,D3F-G7,D3F-G7,trans,2.597,248747.8194
80,D3F-G8,D3F-G8,trans,2.596,1708652.653
81,D3F-G9,D3F-G9,trans,2.598,1492276.438
82,D3F-G10,D3F-G10,trans,2.601,1575910.403
83,D3F-G11,D3F-G11,trans,2.597,1512241.704
84,D3F-G12,D3F-G12,trans,2.6,1594577.771
85,D3F-H1,D3F-H1,trans,2.594,1125111.963
86,D3F-H2,D3F-H2,trans,2.596,748844.9854
87,D3F-H3,D3F-H3,trans,2.594,1110447.013
88,D3F-H4,D3F-H4,trans,2.596,1462006.989
89,D3F-H5,D3F-H5,trans,2.595,1631432.24
90,D3F-H6,D3F-H6,trans,2.596,1414804.842
91,D3F-H7,D3F-H7,trans,2.594,1610437.841
92,D3F-H8,D3F-H8,trans,,
93,D3F-H9,D3F-H9,trans,2.598,83771.186
94,D3F-H10,D3F-H10,trans,2.598,1702450.141
95,D3F-H11,D3F-H11,trans,2.597,334726.9346
96,D3F-H12,D3F-H12,trans,2.594,1171647.323
